----------------------------------------------------------------
Sat Mar 15 11:40:55 MST 2014:
Booting Derby version The Apache Software Foundation - Apache Derby - 10.9.1.0 - (1344872): instance a816c00e-0144-c70b-fe10-000002c10000 
on database directory D:\ASUProject\AQM_Dylos\derby_home\AQMdb  with class loader sun.misc.Launcher$AppClassLoader@37b90b39 
Loaded from file:/D:/ASUProject/AQM_Dylos/lib/derby.jar
java.vendor=Sun Microsystems Inc.
java.runtime.version=1.6.0_45-b06
user.dir=D:\ASUProject\AQM_Dylos
derby.system.home=null
Database Class Loader started - derby.database.classpath=''
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 437), (SESSIONID = 16), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 438), (SESSIONID = 17), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 439), (SESSIONID = 17), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: select * from particle_reading where userid like ? and datetime between ? and ? order by datetime asc :End prepared statement with 3 parameters begin parameter #1: user1 :end parameter begin parameter #2: 2014-03-15 18:41:20.733 :end parameter begin parameter #3: 2014-03-15 18:41:43.735 :end parameter 
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 439), (SESSIONID = 17), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 439), (SESSIONID = 17), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 439), (SESSIONID = 17), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 440), (SESSIONID = 18), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 440), (SESSIONID = 18), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 441), (SESSIONID = 19), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 442), (SESSIONID = 19), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: insert into server_push_event (eventtime, responsecode, devicetype, message) values (?,?,?,?) :End prepared statement with 4 parameters begin parameter #1: 2014-03-15 18:41:43.0 :end parameter begin parameter #2: 1 :end parameter begin parameter #3: 1 :end parameter begin parameter #4: Pushed 1 DylosReadings to the server :end parameter 
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 442), (SESSIONID = 19), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 442), (SESSIONID = 19), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:43 MST 2014 Thread[Timer-0,5,main] (XID = 442), (SESSIONID = 19), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 443), (SESSIONID = 20), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 443), (SESSIONID = 20), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 444), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 445), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: insert into particle_reading (deviceid,userid,datetime,smallparticle,largeparticle,geolatitude,geolongitude,geomethod) values (?,?,?,?,?,?,?,?) :End prepared statement with 8 parameters begin parameter #1: aqm1 :end parameter begin parameter #2: user1 :end parameter begin parameter #3: 2014-03-15 18:41:48.0 :end parameter begin parameter #4: 71 :end parameter begin parameter #5: 15 :end parameter begin parameter #6: 33.3099177 :end parameter begin parameter #7: -111.6726974 :end parameter begin parameter #8: manual :end parameter 
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 445), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 445), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 445), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:41:51 MST 2014 Thread[Timer-0,5,main] (XID = 445), (SESSIONID = 21), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 446), (SESSIONID = 22), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 446), (SESSIONID = 22), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 447), (SESSIONID = 23), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 448), (SESSIONID = 23), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: select * from particle_reading where userid like ? and datetime between ? and ? order by datetime asc :End prepared statement with 3 parameters begin parameter #1: user1 :end parameter begin parameter #2: 2014-03-15 18:41:43.735 :end parameter begin parameter #3: 2014-03-15 18:42:06.738 :end parameter 
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 448), (SESSIONID = 23), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 448), (SESSIONID = 23), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 448), (SESSIONID = 23), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 449), (SESSIONID = 24), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 449), (SESSIONID = 24), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Sat Mar 15 11:42:06 MST 2014 Thread[Timer-0,5,main] (XID = 450), (SESSIONID = 25), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
